date,project,total,last_30_days
2026-07-28,rapids-singlecell,281481,5839
2026-07-28,rapids-singlecell-cu12,11658,2707
2026-07-28,rapids-singlecell-cu13,10576,2699
2026-07-29,rapids-singlecell,281717,5963
2026-07-29,rapids-singlecell-cu12,11741,2722
2026-07-29,rapids-singlecell-cu13,10767,2840
2026-07-30,rapids-singlecell,281880,5991
2026-07-30,rapids-singlecell-cu12,11812,2733
2026-07-30,rapids-singlecell-cu13,10848,2883
2026-07-31,rapids-singlecell,282042,5993
2026-07-31,rapids-singlecell-cu12,11897,2781
2026-07-31,rapids-singlecell-cu13,10889,2887
2026-08-01,rapids-singlecell,282143,5949
2026-08-01,rapids-singlecell-cu12,11928,2762
2026-08-01,rapids-singlecell-cu13,10907,2857
2026-08-02,rapids-singlecell,282247,5969
2026-08-02,rapids-singlecell-cu12,11993,2772
2026-08-02,rapids-singlecell-cu13,10958,2849
2026-08-03,rapids-singlecell,282564,6184
2026-08-03,rapids-singlecell-cu12,12075,2830
2026-08-03,rapids-singlecell-cu13,11005,2872
2026-08-04,rapids-singlecell,282848,6325
2026-08-04,rapids-singlecell-cu12,12157,2882
2026-08-04,rapids-singlecell-cu13,11064,2901
2026-08-05,rapids-singlecell,283154,6444
2026-08-05,rapids-singlecell-cu12,12275,2966
2026-08-05,rapids-singlecell-cu13,11137,2941
2026-08-06,rapids-singlecell,283426,6510
2026-08-06,rapids-singlecell-cu12,12344,3003
2026-08-06,rapids-singlecell-cu13,11203,2964
2026-08-07,rapids-singlecell,283817,6721
2026-08-07,rapids-singlecell-cu12,12411,3023
2026-08-07,rapids-singlecell-cu13,11261,2965
2026-08-08,rapids-singlecell,284294,6934
2026-08-08,rapids-singlecell-cu12,12436,2785
2026-08-08,rapids-singlecell-cu13,11269,2736
2026-08-09,rapids-singlecell,284576,7143
2026-08-09,rapids-singlecell-cu12,12481,2771
2026-08-09,rapids-singlecell-cu13,11309,2728
2026-08-10,rapids-singlecell,284825,7342
2026-08-10,rapids-singlecell-cu12,12539,2791
2026-08-10,rapids-singlecell-cu13,11402,2785
